city,timestamp,aqi,co,no2,o3,so2,pm2_5,pm10,temperature,humidity,collection_status
Jaipur,2025-01-13 19:13:28,5,907.9,21.42,57.22,3.93,89.97,102.14,11.6,82,success
Patna,2025-01-13 19:13:30,5,1241.68,16.11,57.94,7.21,220.98,238.68,15.97,88,success
Delhi,2025-01-13 20:15:29,5,894.55,21.59,36.84,7.15,79.88,99.55,11.06,100,success
Mumbai,2025-01-13 20:15:32,5,2750.4,78.14,17.17,49.11,228.75,296.25,25.03,57,success
Chennai,2025-01-13 20:15:34,3,487.33,6.51,80.82,5.9,36.6,49.19,25.24,93,success
Kolkata,2025-01-13 20:15:36,5,9719.85,211.12,0,43.87,949.77,1126.58,17.96,82,success
Bengaluru,2025-01-13 20:15:39,1,527.38,11.31,51.5,6.56,7.35,8.74,19.52,93,success
Ahmedabad,2025-01-13 20:15:41,4,767.71,19.19,42.92,3.46,52.87,67.16,15.04,63,success
Lucknow,2025-01-13 20:15:44,5,821.11,9.85,58.65,2.5,110.07,121.67,12.01,100,success
Hyderabad,2025-01-13 20:15:46,5,821.11,22.96,88.69,25.03,106.48,121.36,19.68,77,success
Jaipur,2025-01-13 20:15:48,5,841.14,17.48,62.94,3.76,85.76,96.41,9.6,93,success
Patna,2025-01-13 20:15:51,5,1228.33,15.59,50.07,6.5,214.47,231.01,15.97,88,success
Delhi,2025-01-13 21:13:02,5,867.84,19.71,35.41,7.09,76.95,95.45,10.06,100,success
Mumbai,2025-01-13 21:13:04,5,2883.91,77.46,11.36,46.73,238.13,308.44,25.03,57,success
Chennai,2025-01-13 21:13:06,3,473.98,5.18,82.25,5.42,36.72,49.05,25.24,91,success
Kolkata,2025-01-13 21:13:08,5,8544.92,174.11,0,26.46,858.93,1022.58,17.96,82,success
Bengaluru,2025-01-13 21:13:11,1,507.36,9.68,53.64,6.44,7.38,8.6,19.09,93,success
Ahmedabad,2025-01-13 21:13:13,3,634.19,10.54,65.8,3.19,45.9,55.77,15.04,63,success
Lucknow,2025-01-13 21:13:15,5,834.47,9.25,56.51,2.47,112.61,123.76,12.01,100,success
Hyderabad,2025-01-13 21:13:17,5,794.41,19.71,82.97,21.7,106.85,121.42,18.68,82,success
Jaipur,2025-01-13 21:13:20,5,787.74,14.57,65.8,3.61,81.28,90.94,8.6,100,success
Patna,2025-01-13 21:13:22,5,1228.33,15.08,43.63,5.96,210.54,226.16,14.97,94,success
Delhi,2025-01-13 22:13:03,5,841.14,18.68,34.33,7.09,75.59,93.87,10.06,100,success
Mumbai,2025-01-13 22:13:06,5,2777.1,72.66,8.05,41.96,231.93,305.03,25.03,57,success
Chennai,2025-01-13 22:13:08,3,473.98,4.71,81.54,4.89,36.49,48.65,24.97,91,success
Kolkata,2025-01-13 22:13:10,5,7156.37,141.2,0,18.36,760.6,909.39,17.96,77,success
Bengaluru,2025-01-13 22:13:13,1,494,8.48,55.79,6.38,7.72,8.88,19.31,93,success
Ahmedabad,2025-01-13 22:13:15,3,580.79,6,89.41,3.99,47.16,55.72,14.04,67,success
Lucknow,2025-01-13 22:13:18,5,847.82,9,52.93,2.41,116.91,127.94,12.03,73,success
Hyderabad,2025-01-13 22:13:20,5,801.09,18.68,76.53,20.5,108.35,122.59,17.68,88,success
Jaipur,2025-01-13 22:13:22,5,747.68,12.68,66.52,3.46,77.6,86.8,8.6,93,success
Patna,2025-01-13 22:13:25,5,1228.33,15.08,38.27,5.54,208.12,223.27,12.42,70,success
Delhi,2025-01-13 23:13:10,5,847.82,18.68,32.9,7.57,76.34,94.16,10.06,93,success
Mumbai,2025-01-13 23:13:12,5,2857.21,76.08,3.53,41.49,240.36,313.49,25.03,57,success
Chennai,2025-01-13 23:13:14,3,480.65,4.8,80.11,4.65,36.52,48.56,24.64,92,success
Kolkata,2025-01-13 23:13:17,5,6141.66,115.16,0,16.69,681.85,821.41,16.96,82,success
Bengaluru,2025-01-13 23:13:19,1,480.65,7.8,59.37,6.56,7.65,8.78,19.31,92,success
Ahmedabad,2025-01-13 23:13:21,4,587.46,4.97,95.84,4.77,57.88,66.5,13.04,76,success
Lucknow,2025-01-13 23:13:23,5,867.84,9.08,47.21,2.27,121.94,133.31,12.01,100,success
Hyderabad,2025-01-13 23:13:26,5,821.11,18.85,72.96,21.22,111.22,125.48,17.68,88,success
Jaipur,2025-01-13 23:13:28,5,734.33,12.17,64.37,3.55,75.5,84.81,8.6,93,success
Patna,2025-01-13 23:13:30,5,1228.33,14.74,33.98,5.19,208.07,221.35,11.63,73,success
Delhi,2025-01-14 01:05:05,5,1028.06,25.36,24.68,11.09,92.03,115.47,10.06,100,success
Mumbai,2025-01-14 01:05:08,5,3685,94.59,0.01,53.41,307.32,373.34,24.03,57,success
Chennai,2025-01-14 01:05:10,3,494,6.17,76.53,4.83,35.85,48.65,24.45,92,success
